41923_553_C7_1,0
2788_669_B12_1,25
26834_232_G2_1,23
23162_222_B11_2,25 23
48067_978_D10_2,25 0
14484_201_B6_2,0
57595_1029_D3_2,25 23
35677_389_D4_2,2
49787_793_C12_2,3
41056_si28_C12_15,2
27208_508_H11_1,25 7
61387_1102_D8_3,19 0
20051_185_C10_2,19 25
64882_1254_C3_3,25 2
59286_1511_B8_6,7
67042_1754_F6_18_cr57f3ed2cb7320,0
35157_1323_A6_2,5 0
55040_881_F1_2,0
40262_412_H8_2,23
44329_918_F10_1,7
37667_442_H8_6,25 13 0
28651_281_A5_1,25 13 0
1379_60_H1_2,0
49775_1365_F3_2,5
9119_1153_A1_2,25 0
38299_440_E10_2,7
24503_224_F1_1,25 7 0
5377_635_H4_5,12 25 2
35123_374_D4_2,19 25
27826_1033_D3_3,3
23010_193_B4_2,23
63745_1132_E10_1,23
40705_411_A12_1,25 0
62424_1241_B8_2,7
22545_612_C11_1,6
72840_1349_F5_1,12 22 21
24352_264_H6_1,0
56027_1041_G1_4,25 0
47478_697_H11_3,25 2
20730_248_H9_1,25 23 1 0
30542_321_E3_2,25 5 0
7795_631_B1_5,25 21
15796_132_B1_1,25
54983_918_A11_1,25 2
15291_1030_F9_5,0
54936_901_F2_2,16 14
2665_658_B7_2,9 10
19075_152_G9_2,0
39111_901_H4_2,23 5
6287_9_A2_1,25 21
49285_696_A9_1,5 0
54913_874_H1_1,2
992_3_A1_1,7
3047_1636_H1_13_cr57bee217cadfc,16 25
42131_1145_A1_1,7 0
47248_si23_G3_3,5 0
4799_1293_B7_1,23
51309_799_G6_1,19 25 13
35795_380_E1_1,25 5
51228_si25_G5_2,0
51200_1125_F9_2,25 7 0 21
43010_912_G12_4,22
2620_634_E6_2,25
75905_1758_F6_1,0
40304_449_C1_2,25
31162_1177_A7_2,25 0
63765_1178_C10_2,4
2967_35_F5_1,25
28497_249_A9_1,13 21
7040_7_D12_1,25
62997_1272_F11_6,4
58635_1582_F7_2,14 5 0
25963_394_A9_1,25 0
41015_475_F10_3,0
54241_859_F10_3,0
56795_si38_B6_8,23
23893_237_F11_1,0
30278_272_G6_2,23
36823_408_B5_1,7
41345_534_F4_1,25
71309_1494_B8_3,2
50499_711_F4_2,25 18
67638_1238_E10_12,2
49480_771_E4_3,0
69165_1534_E5_1,0
18954_si28_E10_18,25
49117_1421_G3_7,3
29735_1143_F6_4,19 0
26711_298_B11_2,23
14706_123_B8_2,25 23 0
30550_687_G12_1,12 25 21
24344_si26_E9_3,0
8129_15_E2_2,25
8482_1682_F4_2,21
69560_1364_H3_2,23
64033_1139_B11_1,0
1384_1472_A1_6,25 21
49042_680_C2_1,2
55238_1511_B2_2,5 0
4705_30_H5_1,7 0
30520_771_B1_8,0
35405_836_D4_1,4
29196_595_D4_2,0
39501_470_F6_2,25 7
56061_1044_G3_1,0
43586_519_G4_3,0
51832_782_E5_2,2
49109_1533_F1_2,6 3
61316_1135_D10_1,25
55018_957_B3_2,0
49327_721_C12_1,0
65676_1353_C12_3,22 2
45631_1669_F4_3,1 0
47144_616_G10_1,25
16212_948_F12_4,25
1405_39_B4_1,23
15267_165_D4_1,25
4246_78_D8_2,0
51993_821_F5_2,25
48645_727_G9_1,25
21594_1616_A6_3,2
61664_1327_E10_1,23
63990_1192_A2_2,25
17450_640_E8_3,25
7289_8_E11_2,25 0
35331_382_G6_2,25
7266_38_F11_2,25
51574_855_A8_2,25 0 21
16579_280_B4_1,25 21
60710_1127_C8_2,0
43531_779_D12_2,25 0
35838_396_B5_1,23
3038_1042_A5_1,0
62061_1276_F11_6,23
42626_475_F3_2,2
35410_690_B10_2,0
22129_286_H3_1,25
63783_1139_F9_3,25 21
74325_1668_D3_3,0
35784_1392_B4_2,4
22010_192_D3_2,2
40234_424_A11_2,14
73505_1409_B7_2,2
40072_1033_H11_2,25
55120_907_A3_1,23 0
55007_1182_E5_4,25
63863_1178_E11_2,7
51334_987_E11_1,25
56426_930_H10_3,0
75556_1740_H7_3_cr57fcf56e85cfc,26 0
31052_si26_D3_2,0
4835_78_B12_2,13
29992_1201_F1_2,25 0
3302_71_F1_1,23
53643_1189_F3_3,0
40119_471_F10_3,2
59435_1338_E4_3,5
12887_99_B9_1,7
41934_814_G4_2,0
28631_507_F7_1,16 18
24491_1736_C6_2_cr58060780654da,25
40434_517_A7_1,25 0 21
6385_18_G10_1,3
45244_1658_H1_3,3
50641_884_G11_3,25 5 0
6471_43_G7_1,12 25 21
45865_625_G10_1,2
54617_881_H4_3,19
51142_749_F6_2,4
1045_110_E10_2,25 21
54304_856_A5_4,25
70307_1357_A6_4,6
38136_738_G2_3,25 21
36784_408_H6_2,0
65852_1394_C2_1,25
35777_1493_E8_2,21
49564_1125_A10_2,3
53322_1310_B6_2,13 0
55366_909_E3_2,5 0
40348_417_B10_2,23
77996_1674_E9_33,2 19
23349_638_G7_2,25
33850_971_B11_2,14
73505_1529_B3_2,2
42879_1404_B10_4,0
52658_915_C4_1,25 0
5792_1081_H10_1,25 2
48079_1423_E9_3,14
3231_56_G5_2,25 0
57638_1135_G4_1,25 2
11352_108_A11_1,25 5 0
52887_925_E12_1,23
36886_404_D2_1,0
17042_615_C6_2,6
24648_239_F10_1,23 0
53129_876_H4_2,18
25287_1591_E2_1,22 13 3
26997_230_A9_2,3 0
74326_1778_E11_1,18
69179_1430_G1_1,1
43556_1314_D1_2,7
41146_406_H2_1,23 2
53358_810_E2_1,3
50569_752_D8_2,0
48113_1589_E1_1,2
38322_445_B4_2,4
71190_1495_F7_3,7 0
7853_202_A2_2,25 21
61528_1153_H6_4,23
63386_1338_F6_4,2
46164_723_H4_1,25
25293_214_H7_1,25 7 0
73380_1418_F12_3,7
27543_257_B10_2,0 21
21152_234_C10_1,25 23 0
52860_822_C11_1,4 2
50039_850_C6_7,25
49970_694_A5_2,4
60975_1286_E2_1,2 25
2159_674_F1_2,25 21
28705_296_G9_1,25
39828_579_D1_1,7 0
50793_767_C8_2,0
66513_1288_D6_3,2
23147_192_H6_1,25 18
39492_461_F6_2,25
9329_931_A3_1,6
7610_75_D3_2,3
42029_1310_G4_1,11 0
36422_450_H4_1,4
21047_246_F1_1,25 0
38108_537_C9_1,22 25 2
35384_397_C6_1,7
60187_1393_D2_6,0
8701_42_D10_1,25 0
41068_539_D10_2,25 0
44254_528_H5_2,25 0
24076_239_C1_2,25 7 0
27770_511_F10_1,4
62662_1192_E12_2,0
47752_769_B10_2,6
77366_1760_B11_22_cr594b79ecda508,4 21
37362_441_G1_2,0
38976_1396_D7_3,0
36466_448_H11_2,4
38169_437_B11_1,7 0
56586_919_F7_6,25 6
61684_1220_F7_3,1
24150_197_C5_1,25 23 4
74129_1495_G9_4,25 21
15096_128_G5_1,25 7
59742_1049_H4_2,25
39332_411_E7_1,25 7
20051_242_C10_1,19 25
13447_103_H6_2,23
17268_1286_D1_4,5
45495_590_B2_2,14
45372_522_C9_1,6
39332_415_E7_1,25 7
47157_776_D7_2,25 21
65730_1265_D9_1,24 25
43433_528_G1_3,2
52962_928_B10_1,23 2
42071_464_F9_2,25 0
53420_927_A5_1,4
29476_505_E5_1,23
1078_257_A2_2,25 5 0
18189_150_C8_2,7
16334_952_B11_2,0
1853_29_H11_2,0
73824_1593_C2_5,0
21088_191_H8_2,25 2
51504_756_C4_2,23
42769_479_D5_2,25
1880_si32_C10_2,4
66962_1684_D12_3,16
46502_795_C12_1,5 0
45119_526_A8_1,23
